q,tick,impulse_response
1.0,0.0,0.0
1.0,1.0,1.0
1.0,2.0,0.9777777777777777
1.0,3.0,0.9560493827160493
1.0,4.0,0.9348038408779149
1.0,5.0,0.9140304221917389
1.0,6.0,0.8937186350319225
1.0,7.0,0.873858220920102
1.0,8.0,0.8544391493440997
1.0,9.0,0.8354516126920085
1.0,10.0,0.8168860212988528
1.0,11.0,0.7987329986033227
1.0,12.0,0.7809833764121377
1.0,13.0,0.7636281902696457
1.0,14.0,0.7466586749303202
1.0,15.0,0.7300662599318687
1.0,16.0,0.713842565266716
1.0,17.0,0.6979793971496778
1.0,18.0,0.682468743879685
1.0,19.0,0.6673027717934698
1.0,20.0,0.6524738213091704
1.0,21.0,0.6379744030578555
1.0,22.0,0.6237971941010142
1.0,23.0,0.6099350342321028
1.0,24.0,0.5963809223602783
1.0,25.0,0.5831280129744942
1.0,26.0,0.5701696126861722
1.0,27.0,0.5574991768487016
1.0,28.0,0.5451103062520638
1.0,29.0,0.5329967438909068
1.0,30.0,0.5211523718044422
1.0,31.0,0.5095712079865657
1.0,32.0,0.498247403364642
1.0,33.0,0.48717523884542774
1.0,34.0,0.4763491224266404
1.0,35.0,0.46576358637271503
1.0,36.0,0.45541328445332135
1.0,37.0,0.44529298924324756
1.0,38.0,0.43539758948228646
1.0,39.0,0.4257220874937912
1.0,40.0,0.4162615966605958
1.0,41.0,0.407011338957027
1.0,42.0,0.39796664253575975
1.0,43.0,0.3891229393682984
1.0,44.0,0.38047576293789176
1.0,45.0,0.37202074598371637
1.0,46.0,0.3637536182951893
1.0,47.0,0.35567020455529624
1.0,48.0,0.3477664222318452
1.0,49.0,0.34003827951558196
1.0,50.0,0.33248187330412454
1.0,51.0,0.3250933872306996
1.0,52.0,0.317869089736684
1.0,53.0,0.3108053321869799
1.0,54.0,0.3038985470272692
1.0,55.0,0.2971452459822188
1.0,56.0,0.29054201829372506
1.0,57.0,0.2840855289983089
1.0,58.0,0.27777251724279095
1.0,59.0,0.2715997946373956
1.0,60.0,0.26556424364545345
1.0,61.0,0.2596628160088878
1.0,62.0,0.25389253120869026
1.0,63.0,0.24825047495960825
1.0,64.0,0.24273379773828363
1.0,65.0,0.23733971334409953
1.0,66.0,0.23206549749200844
1.0,67.0,0.22690848643663045
1.0,68.0,0.22186607562692756
1.0,69.0,0.2169357183907736
1.0,70.0,0.2121149246487564
1.0,71.0,0.2074012596565618
1.0,72.0,0.20279234277530486
1.0,73.0,0.19828584626918697
1.0,74.0,0.1938794941298717
1.0,75.0,0.18957106092698567
1.0,76.0,0.18535837068416375
1.0,77.0,0.18123929578007122
1.0,78.0,0.1772117558738474
1.0,79.0,0.17327371685442858
1.0,80.0,0.16942318981321905
2.0,0.0,0.0
2.0,1.0,1.0
2.0,2.0,0.961111111111111
2.0,3.0,0.9237345679012344
2.0,4.0,0.8878115569272974
2.0,5.0,0.8532855519356802
2.0,6.0,0.8201022249159593
2.0,7.0,0.7882093606136719
2.0,8.0,0.7575567743675846
2.0,9.0,0.7280962331421784
2.0,10.0,0.6997813796310937
2.0,11.0,0.6725676593121066
2.0,12.0,0.646412250338858
2.0,13.0,0.6212739961590135
2.0,14.0,0.5971133407528295
2.0,15.0,0.5738922663902195
2.0,16.0,0.5515742338083776
2.0,17.0,0.5301241247158295
2.0,18.0,0.5095081865324361
2.0,19.0,0.48969397927839686
2.0,20.0,0.4706503245286814
2.0,21.0,0.45234725635256595
2.0,22.0,0.43475597416107725
2.0,23.0,0.4178487973881464
2.0,24.0,0.4015991219341629
2.0,25.0,0.38598137830338985
2.0,26.0,0.3709709913693691
2.0,27.0,0.35654434170500476
2.0,28.0,0.34267872841647673
2.0,29.0,0.32935233342250264
2.0,30.0,0.31654418712273863
2.0,31.0,0.30423413540129873
2.0,32.0,0.29240280791347045
2.0,33.0,0.28103158760572433
2.0,34.0,0.27010258142105725
2.0,35.0,0.25959859214357167
2.0,36.0,0.24950309133798831
2.0,37.0,0.23980019334151095
2.0,38.0,0.23047463026711884
2.0,39.0,0.2215117279789531
2.0,40.0,0.2128973830019938
2.0,41.0,0.20461804032969402
2.0,42.0,0.19666067209465035
2.0,43.0,0.18901275706874726
2.0,44.0,0.18166226096051818
2.0,45.0,0.17459761747872024
2.0,46.0,0.16780771013232554
2.0,47.0,0.16128185473829065
2.0,48.0,0.15500978260957934
2.0,49.0,0.14898162439698456
2.0,50.0,0.14318789455932404
2.0,51.0,0.13761947643757255
2.0,52.0,0.13226760790944472
2.0,53.0,0.12712386760185518
2.0,54.0,0.1221801616395608
2.0,55.0,0.11742871090913343
2.0,56.0,0.11286203881822267
2.0,57.0,0.10847295953084733
2.0,58.0,0.10425456666020326
2.0,59.0,0.10020022240119535
2.0,60.0,0.0963035470855933
2.0,61.0,0.09255840914337578
2.0,62.0,0.08895891545446671
2.0,63.0,0.0854994020756819
2.0,64.0,0.08217442532829425
2.0,65.0,0.07897875323219392
2.0,66.0,0.07590735727316414
2.0,67.0,0.07295540449031887
2.0,68.0,0.0701182498712509
2.0,69.0,0.06739142904292447
2.0,70.0,0.06477065124681074
2.0,71.0,0.062251792587212536
2.0,72.0,0.059830889542154264
2.0,73.0,0.05750413272662604
2.0,74.0,0.055267860898368354
2.0,75.0,0.05311855519676514
2.0,76.0,0.05105283360577982
2.0,77.0,0.049067445632221714
2.0,78.0,0.04715926719096864
2.0,79.0,0.045325295689097635
2.0,80.0,0.04356264530118828
3.0,0.0,0.0
3.0,1.0,1.0
3.0,2.0,0.95
3.0,3.0,0.9025
3.0,4.0,0.8573749999999999
3.0,5.0,0.8145062499999999
3.0,6.0,0.7737809374999998
3.0,7.0,0.7350918906249998
3.0,8.0,0.6983372960937497
3.0,9.0,0.6634204312890623
3.0,10.0,0.6302494097246091
3.0,11.0,0.5987369392383787
3.0,12.0,0.5688000922764597
3.0,13.0,0.5403600876626367
3.0,14.0,0.5133420832795048
3.0,15.0,0.48767497911552954
3.0,16.0,0.46329123015975304
3.0,17.0,0.44012666865176536
3.0,18.0,0.4181203352191771
3.0,19.0,0.3972143184582182
3.0,20.0,0.37735360253530725
3.0,21.0,0.3584859224085419
3.0,22.0,0.3405616262881148
3.0,23.0,0.323533544973709
3.0,24.0,0.3073568677250236
3.0,25.0,0.2919890243387724
3.0,26.0,0.27738957312183377
3.0,27.0,0.26352009446574204
3.0,28.0,0.2503440897424549
3.0,29.0,0.23782688525533216
3.0,30.0,0.22593554099256555
3.0,31.0,0.21463876394293727
3.0,32.0,0.2039068257457904
3.0,33.0,0.19371148445850087
3.0,34.0,0.18402591023557582
3.0,35.0,0.174824614723797
3.0,36.0,0.16608338398760716
3.0,37.0,0.1577792147882268
3.0,38.0,0.14989025404881545
3.0,39.0,0.14239574134637467
3.0,40.0,0.13527595427905592
3.0,41.0,0.12851215656510312
3.0,42.0,0.12208654873684796
3.0,43.0,0.11598222130000556
3.0,44.0,0.11018311023500528
3.0,45.0,0.10467395472325501
3.0,46.0,0.09944025698709225
3.0,47.0,0.09446824413773763
3.0,48.0,0.08974483193085075
3.0,49.0,0.0852575903343082
3.0,50.0,0.0809947108175928
3.0,51.0,0.07694497527671315
3.0,52.0,0.07309772651287749
3.0,53.0,0.06944284018723361
3.0,54.0,0.06597069817787193
3.0,55.0,0.06267216326897833
3.0,56.0,0.05953855510552941
3.0,57.0,0.056561627350252934
3.0,58.0,0.053733545982740286
3.0,59.0,0.051046868683603266
3.0,60.0,0.048494525249423104
3.0,61.0,0.046069798986951946
3.0,62.0,0.043766309037604346
3.0,63.0,0.04157799358572413
3.0,64.0,0.03949909390643792
3.0,65.0,0.03752413921111602
3.0,66.0,0.03564793225056022
3.0,67.0,0.033865535638032206
3.0,68.0,0.03217225885613059
3.0,69.0,0.030563645913324063
3.0,70.0,0.02903546361765786
3.0,71.0,0.027583690436774964
3.0,72.0,0.026204505914936217
3.0,73.0,0.024894280619189402
3.0,74.0,0.023649566588229934
3.0,75.0,0.022467088258818435
3.0,76.0,0.02134373384587751
3.0,77.0,0.020276547153583634
3.0,78.0,0.01926271979590445
3.0,79.0,0.01829958380610923
3.0,80.0,0.017384604615803767
4.0,0.0,0.0
4.0,1.0,1.0
4.0,2.0,0.9444444444444444
4.0,3.0,0.8919753086419753
4.0,4.0,0.8424211248285322
4.0,5.0,0.7956199512269471
4.0,6.0,0.7514188428254499
4.0,7.0,0.7096733515573693
4.0,8.0,0.6702470542486266
4.0,9.0,0.6330111067903695
4.0,10.0,0.5978438230797934
4.0,11.0,0.5646302773531383
4.0,12.0,0.5332619286112972
4.0,13.0,0.5036362659106696
4.0,14.0,0.4756564733600768
4.0,15.0,0.44923111372896146
4.0,16.0,0.424273829632908
4.0,17.0,0.4007030613199687
4.0,18.0,0.37844178013552593
4.0,19.0,0.3574172367946634
4.0,20.0,0.3375607236394043
4.0,21.0,0.31880735010388184
4.0,22.0,0.3010958306536662
4.0,23.0,0.28436828450624024
4.0,24.0,0.2685700464781158
4.0,25.0,0.2536494883404427
4.0,26.0,0.23955785009930697
4.0,27.0,0.22624908064934549
4.0,28.0,0.21367968727993739
4.0,29.0,0.20180859354216307
4.0,30.0,0.1905970050120429
4.0,31.0,0.18000828251137385
4.0,32.0,0.17000782237185308
4.0,33.0,0.16056294335119456
4.0,34.0,0.15164277983168375
4.0,35.0,0.14321818095214575
4.0,36.0,0.13526161534369321
4.0,37.0,0.12774708115793248
4.0,38.0,0.1206500210936029
4.0,39.0,0.1139472421439583
4.0,40.0,0.10761683980262726
4.0,41.0,0.10163812648025908
4.0,42.0,0.09599156389802246
4.0,43.0,0.09065869923702122
4.0,44.0,0.08562210483496448
4.0,45.0,0.08086532123302201
4.0,46.0,0.076372803386743
4.0,47.0,0.07212986986525728
4.0,48.0,0.06812265487274298
4.0,49.0,0.06433806293536837
4.0,50.0,0.060763726105625686
4.0,51.0,0.05738796354420203
4.0,52.0,0.05419974334730192
4.0,53.0,0.051188646494674035
4.0,54.0,0.04834483280052548
4.0,55.0,0.04565900875605183
4.0,56.0,0.0431223971584934
4.0,57.0,0.04072670842746599
4.0,58.0,0.038464113514828986
4.0,59.0,0.036327218319560706
4.0,60.0,0.034309039524029555
4.0,61.0,0.03240298177269458
4.0,62.0,0.030602816118655993
4.0,63.0,0.028902659667619547
4.0,64.0,0.027296956352751794
4.0,65.0,0.025780458777598915
4.0,66.0,0.02434821106773231
4.0,67.0,0.022995532675080515
4.0,68.0,0.021718003082020484
4.0,69.0,0.020511447355241567
4.0,70.0,0.01937192250217259
4.0,71.0,0.018295704585385226
4.0,72.0,0.017279276552863824
4.0,73.0,0.016319316744371388
4.0,74.0,0.015412688036350755
4.0,75.0,0.014556427589886824
4.0,76.0,0.013747737168226444
4.0,77.0,0.012983973992213864
4.0,78.0,0.012262642103757538
4.0,79.0,0.011581384209104342
4.0,80.0,0.01093797397526521
