coarse_length_m,energy_density_J_m3,mass_density_kg_m3,memory_length_m,temperature_proxy_K
0.43081318457076023,0.13279999999999997,1.477599274439205e-18,1.7903999999999995,2.9111
0.41483597829610785,0.11199999999999996,1.2461680627800522e-18,1.6991999999999994,2.8975888888888885
0.4318435930853772,0.11039999999999997,1.2283656618831945e-18,1.8255999999999997,2.9119888888888887
0.4154783053568768,0.09759999999999996,1.0859464547083313e-18,1.7519999999999998,2.898122222222222
0.4199470866139632,0.10079999999999997,1.1215512565020471e-18,1.8111999999999995,2.901855555555555
0.41419265512024167,0.09759999999999996,1.0859464547083313e-18,1.7071999999999998,2.8970555555555553
0.4268749491621899,0.10399999999999997,1.1571560582957628e-18,1.8143999999999996,2.907722222222222
0.4226897995772628,0.09599999999999997,1.0681440538114736e-18,1.7439999999999998,2.9041666666666663
0.41909956388004554,0.10239999999999996,1.1393536573989049e-18,1.7887999999999997,2.9011444444444443
0.419311605160437,0.11679999999999996,1.299575265470626e-18,1.6959999999999997,2.901322222222222
0.4256237253203297,0.11519999999999997,1.281772864573768e-18,1.7855999999999992,2.906655555555555
0.4180377441757568,0.10559999999999997,1.1749584591926207e-18,1.8047999999999995,2.9002555555555554
0.4249967320135793,0.11199999999999996,1.2461680627800522e-18,1.7839999999999994,2.906122222222222
0.4369591895513049,0.13599999999999995,1.5132040762329207e-18,1.8351999999999997,2.916433333333333
0.41311822359545775,0.09279999999999997,1.0325392520177575e-18,1.7583999999999995,2.8961666666666663
0.4199470866139632,0.11039999999999997,1.2283656618831945e-18,1.7471999999999994,2.901855555555555
0.42478752858863966,0.09759999999999996,1.0859464547083313e-18,1.7439999999999993,2.905944444444444
0.4235301379804957,0.11359999999999996,1.2639704636769101e-18,1.7343999999999995,2.9048777777777777
0.417612260356422,0.09599999999999997,1.0681440538114736e-18,1.7519999999999998,2.8998999999999997
0.4264582824458526,0.10559999999999997,1.1749584591926207e-18,1.7711999999999997,2.9073666666666664
0.423739962188552,0.11039999999999997,1.2283656618831945e-18,1.7775999999999998,2.9050555555555553
0.4299870799092559,0.11679999999999997,1.299575265470626e-18,1.7615999999999998,2.9103888888888885
0.4239496825489238,0.09919999999999998,1.1037488556051894e-18,1.8095999999999994,2.905233333333333
0.42708313008125237,0.11199999999999996,1.2461680627800522e-18,1.7887999999999993,2.9078999999999997
0.43573692368981837,0.12959999999999997,1.4419944726454892e-18,1.7663999999999993,2.9153666666666664
0.4274991877835038,0.11199999999999996,1.2461680627800522e-18,1.8399999999999996,2.9082555555555554
0.4137632173115439,0.08959999999999996,9.969344502240417e-19,1.7103999999999997,2.8966999999999996
0.41825032376954985,0.11199999999999996,1.2461680627800522e-18,1.7487999999999995,2.900433333333333
0.43143172499635823,0.11359999999999995,1.2639704636769101e-18,1.7487999999999997,2.911633333333333
0.42666666666666664,0.10079999999999997,1.1215512565020471e-18,1.7999999999999996,2.907544444444444
0.4299870799092559,0.11359999999999996,1.2639704636769101e-18,1.7615999999999996,2.9103888888888885
0.41846279537267234,0.11839999999999995,1.3173776663674837e-18,1.7503999999999995,2.900611111111111
0.41867515914953546,0.10239999999999996,1.1393536573989049e-18,1.7007999999999996,2.9007888888888886
0.42415929921564965,0.09919999999999995,1.103748855605189e-18,1.7919999999999996,2.905411111111111
0.42708313008125237,0.11519999999999996,1.281772864573768e-18,1.8111999999999997,2.9078999999999997
0.42373996218855203,0.09439999999999997,1.0503416529146154e-18,1.8064,2.9050555555555553
0.4103115347581098,0.09599999999999997,1.0681440538114736e-18,1.7167999999999997,2.893855555555555
0.42184778718816995,0.10399999999999997,1.1571560582957628e-18,1.7599999999999996,2.9034555555555555
0.43225506873192865,0.12479999999999997,1.3885872699549154e-18,1.7807999999999997,2.912344444444444
0.41761226035642196,0.10559999999999997,1.1749584591926207e-18,1.7471999999999999,2.8998999999999997
0.4226897995772628,0.08959999999999997,9.969344502240419e-19,1.7759999999999996,2.9041666666666663
0.4353287391283868,0.11999999999999997,1.3351800672643418e-18,1.7503999999999995,2.9150111111111108
0.4214261501141095,0.12319999999999995,1.3707848690580573e-18,1.7663999999999997,2.9031
0.4235301379804957,0.10719999999999996,1.1927608600894786e-18,1.7759999999999998,2.9048777777777777
0.4268749491621899,0.11519999999999997,1.281772864573768e-18,1.7583999999999993,2.907722222222222
0.42142615011410944,0.08959999999999997,9.969344502240419e-19,1.7887999999999997,2.9031
0.42604120823121217,0.11199999999999996,1.2461680627800522e-18,1.7631999999999994,2.9070111111111108
0.4293664583494564,0.11039999999999996,1.2283656618831943e-18,1.7215999999999996,2.909855555555555
0.4306068069854704,0.11359999999999996,1.2639704636769101e-18,1.7903999999999998,2.910922222222222
0.4338970692072794,0.11679999999999997,1.299575265470626e-18,1.7839999999999994,2.9137666666666666
0.4167599895490075,0.08959999999999997,9.969344502240419e-19,1.7471999999999994,2.899188888888889
0.42184778718816995,0.09759999999999996,1.0859464547083313e-18,1.7807999999999995,2.9034555555555555
0.42205844776918433,0.10079999999999996,1.121551256502047e-18,1.7711999999999997,2.903633333333333
0.4137632173115439,0.09759999999999996,1.0859464547083313e-18,1.8047999999999995,2.8966999999999996
0.4318435930853772,0.11039999999999997,1.2283656618831945e-18,1.7919999999999994,2.9119888888888887
0.41973536636525843,0.10079999999999997,1.1215512565020471e-18,1.7231999999999994,2.9016777777777776
0.4161196409153929,0.08959999999999997,9.969344502240419e-19,1.7791999999999994,2.8986555555555555
0.42520583250938593,0.12319999999999998,1.3707848690580577e-18,1.8111999999999995,2.9063
0.4281225162133952,0.11999999999999997,1.3351800672643418e-18,1.7759999999999996,2.9087888888888886
0.4156921938165305,0.07679999999999998,8.545152430491787e-19,1.7279999999999993,2.8983
0.4165466493816881,0.10879999999999998,1.2105632609863368e-18,1.7263999999999997,2.8990111111111108
0.421215173304835,0.11839999999999995,1.3173776663674837e-18,1.7375999999999991,2.902922222222222
0.4098780306383839,0.09279999999999998,1.0325392520177577e-18,1.7295999999999996,2.8935
0.42142615011410944,0.10239999999999996,1.1393536573989049e-18,1.7951999999999995,2.9031
0.42978030563429853,0.07519999999999999,8.36712842152321e-19,1.8703999999999996,2.910211111111111
0.4373658524495126,0.11679999999999995,1.2995752654706258e-18,1.8383999999999996,2.9167888888888887
0.4262497963505541,0.09439999999999997,1.0503416529146154e-18,1.7967999999999997,2.907188888888889
0.4283300907789068,0.12319999999999998,1.3707848690580577e-18,1.8223999999999998,2.9089666666666663
0.42436881234238794,0.11199999999999996,1.2461680627800522e-18,1.8479999999999994,2.9055888888888886
0.4347157436506961,0.11199999999999996,1.2461680627800522e-18,1.8559999999999997,2.9144777777777775
0.41973536636525843,0.11039999999999997,1.2283656618831945e-18,1.8495999999999997,2.9016777777777776
0.4220584477691843,0.09279999999999997,1.0325392520177575e-18,1.8207999999999993,2.903633333333333
0.4320493798938573,0.10719999999999996,1.1927608600894786e-18,1.7759999999999998,2.9121666666666663
0.44141187619324923,0.14879999999999996,1.655623283407784e-18,1.7695999999999994,2.920344444444444
0.4268749491621899,0.10559999999999997,1.1749584591926207e-18,1.7567999999999993,2.907722222222222
0.42666666666666664,0.10079999999999997,1.1215512565020471e-18,1.7967999999999997,2.907544444444444
0.4184627953726724,0.10079999999999997,1.1215512565020471e-18,1.7839999999999996,2.900611111111111
0.41654664938168817,0.07839999999999997,8.723176439460366e-19,1.7135999999999996,2.8990111111111108
0.41718634259098697,0.08799999999999997,9.79132049327184e-19,1.6927999999999994,2.899544444444444
0.42895221179054427,0.11039999999999996,1.2283656618831943e-18,1.7423999999999997,2.9094999999999995
0.4077035960378841,0.07359999999999997,8.189104412554629e-19,1.7119999999999997,2.891722222222222
0.43655214783319723,0.12639999999999996,1.4063896708517733e-18,1.8351999999999995,2.9160777777777773
0.42163702135578385,0.10239999999999996,1.1393536573989049e-18,1.7631999999999994,2.9032777777777774
0.4220584477691843,0.11519999999999997,1.281772864573768e-18,1.7839999999999996,2.903633333333333
0.434920171474669,0.11999999999999997,1.3351800672643418e-18,1.7327999999999997,2.914655555555555
0.42604120823121217,0.11359999999999995,1.2639704636769101e-18,1.8128000000000002,2.9070111111111108
0.41654664938168817,0.09119999999999998,1.0147368511208998e-18,1.8191999999999997,2.8990111111111108
0.4220584477691843,0.10879999999999995,1.2105632609863364e-18,1.8319999999999994,2.903633333333333
0.4316377081663638,0.12479999999999997,1.3885872699549154e-18,1.7855999999999996,2.9118111111111107
0.42373996218855203,0.10719999999999996,1.1927608600894786e-18,1.8207999999999995,2.9050555555555553
0.42037020721158513,0.10079999999999997,1.1215512565020471e-18,1.6879999999999997,2.902211111111111
0.41483597829610785,0.11359999999999995,1.2639704636769101e-18,1.7007999999999996,2.8975888888888885
0.4222690032563497,0.11359999999999998,1.2639704636769103e-18,1.7183999999999995,2.9038111111111107
0.428744938421694,0.10559999999999997,1.1749584591926207e-18,1.7679999999999993,2.909322222222222
0.4243688123423879,0.11359999999999998,1.2639704636769103e-18,1.8063999999999996,2.9055888888888886
0.42247945380679625,0.09919999999999995,1.103748855605189e-18,1.7871999999999997,2.9039888888888887
0.4124722212868805,0.11679999999999996,1.299575265470626e-18,1.7807999999999997,2.895633333333333
0.42205844776918433,0.11039999999999997,1.2283656618831945e-18,1.8159999999999996,2.903633333333333
0.42957343182898694,0.11039999999999997,1.2283656618831945e-18,1.8063999999999996,2.9100333333333332
0.428744938421694,0.11359999999999995,1.2639704636769101e-18,1.7999999999999996,2.909322222222222
0.4347157436506961,0.12319999999999998,1.3707848690580577e-18,1.7983999999999996,2.9144777777777775
0.41846279537267234,0.09279999999999997,1.0325392520177575e-18,1.7119999999999995,2.900611111111111
0.42015870017569945,0.09599999999999997,1.0681440538114736e-18,1.7743999999999995,2.9020333333333332
0.42624979635055416,0.11359999999999996,1.2639704636769101e-18,1.8175999999999997,2.907188888888889
0.4281225162133952,0.11839999999999995,1.3173776663674837e-18,1.7967999999999997,2.9087888888888886
0.4243688123423879,0.09759999999999996,1.0859464547083313e-18,1.7759999999999998,2.9055888888888886
0.42604120823121217,0.10719999999999996,1.1927608600894786e-18,1.7583999999999997,2.9070111111111108
0.4310194633398563,0.12479999999999997,1.3885872699549154e-18,1.8223999999999998,2.9112777777777774
0.4146216481457656,0.08639999999999998,9.613296484303262e-19,1.7903999999999995,2.897411111111111
0.4129030017920538,0.08319999999999997,9.257248466366102e-19,1.7311999999999996,2.8959888888888887
0.4283300907789068,0.11039999999999997,1.2283656618831945e-18,1.7952,2.9089666666666663
0.4334871521869028,0.10079999999999997,1.1215512565020471e-18,1.7711999999999997,2.913411111111111
0.42541483022783505,0.11039999999999997,1.2283656618831945e-18,1.7983999999999998,2.9064777777777775
0.40748551439829656,0.10239999999999996,1.1393536573989049e-18,1.7567999999999997,2.891544444444444
0.42541483022783505,0.10879999999999995,1.2105632609863364e-18,1.7311999999999994,2.9064777777777775
0.4122566622330748,0.09919999999999997,1.1037488556051892e-18,1.7135999999999993,2.8954555555555554
0.42121517330483493,0.10079999999999997,1.1215512565020471e-18,1.7983999999999998,2.902922222222222
0.4154783053568768,0.10399999999999995,1.1571560582957628e-18,1.8287999999999993,2.898122222222222
0.43060680698547044,0.09439999999999998,1.0503416529146156e-18,1.8175999999999997,2.910922222222222
0.4150501977672901,0.09439999999999997,1.0503416529146154e-18,1.6943999999999995,2.8977666666666666
0.4281225162133952,0.11519999999999997,1.281772864573768e-18,1.7023999999999997,2.9087888888888886
0.41761226035642196,0.09919999999999998,1.1037488556051894e-18,1.7487999999999997,2.8998999999999997
0.4297803056342985,0.11359999999999998,1.2639704636769103e-18,1.7951999999999995,2.910211111111111
0.427707064862545,0.10719999999999996,1.1927608600894786e-18,1.8671999999999995,2.908433333333333
0.41909956388004554,0.09119999999999998,1.0147368511208998e-18,1.7183999999999995,2.9011444444444443
0.4247875285886397,0.09279999999999997,1.0325392520177575e-18,1.7999999999999996,2.905944444444444
0.4233202097703344,0.11999999999999994,1.3351800672643415e-18,1.7711999999999994,2.9046999999999996
0.4146216481457656,0.10079999999999996,1.121551256502047e-18,1.7551999999999999,2.897411111111111
0.4180377441757568,0.09599999999999997,1.0681440538114736e-18,1.7695999999999994,2.9002555555555554
0.41761226035642196,0.09439999999999997,1.0503416529146154e-18,1.7519999999999998,2.8998999999999997
0.4245782220824174,0.09119999999999998,1.0147368511208998e-18,1.7311999999999994,2.9057666666666666
0.42645828244585265,0.11999999999999995,1.3351800672643417e-18,1.7871999999999997,2.9073666666666664
0.4193116051604369,0.11199999999999996,1.2461680627800522e-18,1.7295999999999994,2.901322222222222
0.41718634259098697,0.11039999999999997,1.2283656618831945e-18,1.7551999999999996,2.899544444444444
0.4408073401284409,0.14559999999999995,1.620018481614068e-18,1.7823999999999995,2.9198111111111107
0.4173993557999607,0.09439999999999996,1.0503416529146154e-18,1.7327999999999997,2.899722222222222
0.43040033044183923,0.10879999999999995,1.2105632609863364e-18,1.7711999999999994,2.910744444444444
0.4235301379804957,0.09919999999999995,1.103748855605189e-18,1.7599999999999993,2.9048777777777777
0.41909956388004554,0.10079999999999997,1.1215512565020471e-18,1.6975999999999998,2.9011444444444443
0.42121517330483493,0.09919999999999997,1.1037488556051892e-18,1.7519999999999996,2.9029222222222217
0.41462164814576563,0.08319999999999998,9.257248466366103e-19,1.7599999999999993,2.897411111111111
0.41825032376954985,0.09279999999999997,1.0325392520177575e-18,1.7711999999999999,2.900433333333333
0.42247945380679613,0.11519999999999997,1.281772864573768e-18,1.7839999999999994,2.9039888888888887
0.4249967320135793,0.11039999999999997,1.2283656618831945e-18,1.7023999999999995,2.906122222222222
0.41096093353126506,0.07839999999999997,8.723176439460366e-19,1.7007999999999996,2.8943888888888885
0.4210040907692518,0.11679999999999996,1.299575265470626e-18,1.7695999999999998,2.902744444444444
0.41782505642646384,0.11039999999999997,1.2283656618831945e-18,1.8047999999999997,2.9000777777777773
0.4332820482472511,0.12319999999999998,1.3707848690580577e-18,1.8271999999999993,2.913233333333333
0.4291593850514954,0.12159999999999997,1.3529824681611998e-18,1.7775999999999996,2.9096777777777776
0.43040033044183923,0.10399999999999997,1.1571560582957628e-18,1.7807999999999997,2.910744444444444
0.4249967320135793,0.10239999999999996,1.1393536573989049e-18,1.8415999999999997,2.906122222222222
0.43081318457076023,0.11039999999999997,1.2283656618831945e-18,1.7823999999999998,2.9111
0.43430659933072874,0.12959999999999997,1.4419944726454892e-18,1.8223999999999994,2.914122222222222
0.4318435930853772,0.10239999999999996,1.1393536573989049e-18,1.8143999999999998,2.9119888888888887
0.4133333333333333,0.09439999999999997,1.0503416529146154e-18,1.7279999999999998,2.8963444444444444
0.4334871521869028,0.13279999999999997,1.477599274439205e-18,1.8127999999999997,2.913411111111111
0.42353013798049566,0.11519999999999996,1.281772864573768e-18,1.7071999999999998,2.9048777777777777
0.42583251793790156,0.09759999999999996,1.0859464547083313e-18,1.7391999999999996,2.906833333333333
0.4279148409568323,0.10399999999999995,1.1571560582957628e-18,1.7951999999999997,2.908611111111111
0.4281225162133952,0.12799999999999995,1.424192071748631e-18,1.7551999999999994,2.9087888888888886
0.4154783053568768,0.09599999999999997,1.0681440538114736e-18,1.7535999999999996,2.898122222222222
0.4270831300812524,0.09599999999999997,1.0681440538114736e-18,1.7999999999999998,2.9078999999999997
0.42895221179054427,0.10879999999999995,1.2105632609863364e-18,1.8159999999999998,2.9094999999999995
0.42812251621339514,0.11359999999999996,1.2639704636769101e-18,1.7759999999999994,2.9087888888888886
0.43040033044183923,0.12319999999999996,1.3707848690580575e-18,1.7567999999999997,2.910744444444444
0.4239496825489238,0.11199999999999996,1.2461680627800522e-18,1.7615999999999996,2.905233333333333
0.4289522117905442,0.11199999999999996,1.2461680627800522e-18,1.7567999999999993,2.9094999999999995
0.4379751388175157,0.12799999999999995,1.424192071748631e-18,1.7583999999999997,2.917322222222222
0.4260412082312121,0.11039999999999997,1.2283656618831945e-18,1.7471999999999994,2.9070111111111108
0.4111771718695806,0.09119999999999996,1.0147368511208996e-18,1.7424,2.8945666666666665
0.43122564343456604,0.11359999999999998,1.2639704636769103e-18,1.7615999999999996,2.9114555555555555
0.42142615011410944,0.09599999999999997,1.0681440538114736e-18,1.7311999999999994,2.9031
0.4243688123423879,0.10239999999999998,1.139353657398905e-18,1.7647999999999997,2.9055888888888886
0.4180377441757568,0.08319999999999997,9.257248466366102e-19,1.8415999999999995,2.9002555555555554
0.42037020721158513,0.09119999999999998,1.0147368511208998e-18,1.8159999999999994,2.902211111111111
0.41973536636525843,0.11199999999999996,1.2461680627800522e-18,1.7471999999999994,2.9016777777777776
0.42583251793790156,0.11039999999999997,1.2283656618831945e-18,1.8223999999999996,2.906833333333333
0.4279148409568323,0.11199999999999996,1.2461680627800522e-18,1.7311999999999994,2.908611111111111
0.4156921938165305,0.10239999999999996,1.1393536573989049e-18,1.7503999999999995,2.8983
0.42541483022783505,0.10079999999999997,1.1215512565020471e-18,1.7519999999999996,2.9064777777777775
0.4279148409568323,0.10079999999999997,1.1215512565020471e-18,1.7871999999999995,2.908611111111111
0.43328204824725114,0.12159999999999996,1.3529824681611996e-18,1.7455999999999998,2.913233333333333
0.4293664583494564,0.11359999999999995,1.2639704636769101e-18,1.8207999999999995,2.909855555555555
0.41311822359545775,0.08959999999999997,9.969344502240419e-19,1.7247999999999997,2.8961666666666663
0.4129030017920538,0.08159999999999998,9.079224457397524e-19,1.7375999999999996,2.8959888888888887
0.4326661530556786,0.12799999999999997,1.4241920717486315e-18,1.7167999999999997,2.9126999999999996
0.42415929921564965,0.11519999999999997,1.281772864573768e-18,1.7743999999999995,2.905411111111111
0.4332820482472511,0.11679999999999996,1.299575265470626e-18,1.7759999999999994,2.913233333333333
0.4233202097703344,0.09279999999999997,1.0325392520177575e-18,1.8111999999999995,2.9046999999999996
0.42184778718816995,0.12159999999999997,1.3529824681611998e-18,1.8048,2.9034555555555555
0.42436881234238794,0.11359999999999996,1.2639704636769101e-18,1.7887999999999997,2.9055888888888886
0.40573664145874494,0.07999999999999997,8.901200448428945e-19,1.7023999999999997,2.890122222222222
0.4310194633398563,0.11359999999999996,1.2639704636769101e-18,1.8399999999999999,2.9112777777777774
0.42142615011410944,0.13279999999999997,1.477599274439205e-18,1.7711999999999997,2.9031
0.42624979635055404,0.12639999999999996,1.4063896708517733e-18,1.7599999999999993,2.907188888888889
0.41867515914953546,0.10719999999999996,1.1927608600894786e-18,1.7599999999999998,2.9007888888888886
0.42058160788233334,0.09279999999999997,1.0325392520177575e-18,1.7503999999999995,2.9023888888888885
0.42457822208241747,0.10239999999999996,1.1393536573989049e-18,1.8399999999999999,2.9057666666666666
0.4195235392680606,0.09119999999999998,1.0147368511208998e-18,1.7647999999999997,2.9015
